time	acceleration
0.00	-0.0014275799
0.02	-0.0110127600
0.04	-0.0102989700
0.06	-0.0089733599
0.08	-0.0096871497
0.10	-0.0122364000
0.12	-0.0144797390
0.14	-0.0130521600
0.16	-0.0112167000
0.18	-0.0086674497
0.20	-0.0086674497
0.22	-0.0133580700
0.24	-0.0179467200
0.26	-0.0197821790
0.28	-0.0165191400
0.30	-0.0146836790
0.32	-0.0110127600
0.34	-0.0083615395
0.36	-0.0042827397
0.38	-0.0067300197
0.40	-0.0133580700
0.42	-0.0193742990
0.44	-0.0199861200
0.46	-0.0067300197
0.48	0.0030590999
0.50	0.0143777700
0.52	-0.0049965299
0.54	-0.0130521600
0.56	-0.0146836790
0.58	-0.0206999090
0.60	-0.0265121990
0.62	-0.0331402490
0.64	-0.0312028190
0.66	-0.0175388400
0.68	-0.0200880900
0.70	-0.0166211090
0.72	-0.0167230790
0.74	-0.0068319896
0.76	0.0025492499
0.78	0.0152954990
0.80	0.0240649200
0.82	0.0256964400
0.84	0.0342619170
0.86	0.0472121080
0.88	0.0501692390
0.90	0.0427254300
0.92	0.0366072300
0.94	0.0276338690
0.96	0.0239629490
0.98	0.0345678300
1.00	0.0420116390
1.02	0.0540440980
1.04	0.0651588290
1.06	0.0746420340
1.08	0.0664844350
1.10	0.0610800290
1.12	0.0407879990
1.14	0.0407879990
1.16	0.0064241100
1.18	-0.0525145480
1.20	-0.0802503840
1.22	-0.0614879070
1.24	-0.0493534800
1.26	-0.0254924990
1.28	-0.0060162299
1.30	0.0136639790
1.32	0.0314067580
1.34	0.0508830300
1.36	0.0723986970
1.38	0.1014601500
1.40	0.1244034000
1.42	0.1560140900
1.44	0.1478564900
1.46	0.1182852000
1.48	0.0953419470
1.50	0.0909572340
1.52	0.0944242150
1.54	0.0855528290
1.56	0.0918749650
1.58	0.1012562100
1.60	0.1233837000
1.62	0.0334461580
1.64	-0.1509155900
1.66	-0.2110778900
1.68	-0.2029202900
1.70	-0.2069990900
1.72	-0.1855853900
1.74	-0.1764080900
1.76	-0.1784474900
1.78	-0.1784474900
1.80	-0.1845656900
1.82	-0.1662110900
1.84	-0.1376595000
1.86	-0.1111473000
1.88	-0.0797405340
1.90	-0.0437451300
1.92	-0.0017334900
1.94	0.0367091990
1.96	0.0800464470
1.98	0.1182852000
2.00	0.1631519900 
